name	address	website	archive_oldest	archive_newest	offers repair	First Price Date	First Price	First Price (Inflation adjusted)	First Price Source	Current Price Date	Current Price	Current Price Source	lat	lon
Bikeservice	Rechte Wienzeile 249, 1120 Wien				No website								48.1852038	16.3208324
Bikely	Gablenzg. 17, 1150 Wien	https://www.bikelyshop.at/			No prices online					2025-07-23		https://www.bikelyshop.at/dienstleistungen/	48.2042415	16.3308278
Bike Shop Hohe Wand Wiese	Mauerbachstraße 174-184, 1140 Wien	https://morethanbike.at/			No prices online	2018-03-13			https://web.archive.org/web/20180313110314/http://www.morethanbike.at/service	2025-07-23		https://morethanbike.at/service/	48.2293974	16.202494
Velobis	Johnstraße 1-3, 1140 Wien	http://velobis.com/			Yes	2020-09-24	49		https://web.archive.org/web/20200924040357/http://velobis.com/fahrradwerkstatt/	2025-07-23	69	https://velobis.com/fahrradwerkstatt/	48.1926464	16.3162895
Oliver Holat	Rittersporngasse 80, 1220 Wien	http://www.radwerkstatt.wien/			No prices online								48.2249684	16.4691684
Mitico	Margaretenstraße 107, 1050 Wien	https://www.miticobikes.com/			Yes	2023-02-03	79		https://web.archive.org/web/20230203170347/https://www.miticobikes.com/werkstatt/fahrradservice/	2025-07-23	89	https://www.miticobikes.com/werkstatt/fahrradservice/	48.1888734	16.3545503
Fahrradstation	Eibesbrunnergasse 1, 1120 Wien	http://www.backwind.at/	2011-01-04	2025-05-13	No prices online								48.1718143	16.3376838
bike20	Friedrich-Engels-Platz 6, 1200 Wien	https://www.bike20.at/			Does not offer service								48.2460665	16.3778204
Church of Bikes	Florianigasse 68/2, 1080 Wien	https://www.churchofbikes.com/			Non-commercial							https://www.churchofbikes.com/wordpress/werkstatt/	48.2122113	16.3413302
Arizona Bike	Nussdorfer Straße 3, 1090 Wien	https://www.arizonabike.at	  		Yes	2020-09-30	129		https://web.archive.org/web/20200930072135/https://www.arizonabike.at/service-reparatur/	2025-07-23	129	https://arizonabike.at/service-reparatur/	48.2228841	16.3532905
Radgeber	Landstraßer Hauptstraße 173-175, 1030 Wien	https://www.radgeber.bike			No prices online								48.1900401	16.4009127
Fahrraddiscounter	Hernalser Hauptstraße 119, 1170 Wien	https://fahrraddiscounter.at/			Additional Location								48.2204806	16.3235388
Pedalus	Thaliastraße 152, 1160 Wien	https://www.pedalus.at/			No prices online	2014-03-05			https://web.archive.org/web/20140305143524/http://www.pedalus.at/de-at/fahrrad-service-wien/	2025-07-23		https://www.pedalus.at/service	48.2133834	16.3079782
Lemon Bike	Sonnwendgasse 38, 1100 Wien				No website								48.1783925	16.3796892
Die radwerkstatt	Margaretengürtel 134, 1050 Wien	https://www.dieradwerkstatt.at/			Yes (Hourly rate)	2015-09-26	65		https://web.archive.org/web/20150926120406/http://www.dieradwerkstatt.at/kosten	2025-07-23	120	https://www.dieradwerkstatt.at/preise/	48.1857132	16.3449706
Jugend am Werk	Altmannsdorfer Straße 109, 1120 Wien	https://www.jaw.at			Non-commercial								48.1618614	16.3179133
Maderna Cycle Systems - Geschäft	Grundsteingasse 11, 1160 Wien	https://www.mcsbike.com/			Does not offer service								48.2095704	16.3373087
VELLO Brand Store	Reinprechtsdorfer Straße 58-60, 1050 Wien	https://vello.bike			No prices online								48.1874924	16.3524923
Optimus Bike	Piaristengasse 14, 1080 Wien	https://www.optimus-bike.com/			Yes	2025-07-23	120		https://www.optimus-bike.com/fahrradservice/	2025-07-23	120	https://www.optimus-bike.com/fahrradservice/	48.2069623	16.3513119
der drehmoment	Dresdner Straße 136, 1200 Wien	https://der-drehmoment.at			Yes	2020-08-07	65		https://web.archive.org/web/20200807161104/https://www.der-drehmoment.at/	2025-07-23	105	https://www.der-drehmoment.at/	48.2293981	16.3876968
Radlfriseur	Herbststraße 24, 1160 Wien	https://www.radlfriseur.at/	2020-08-03		No prices online								48.2057463	16.3319315
Star Bike	Bruno-Marek-Allee 11, 1020 Wien	https://www.starbike.at			Yes	2016-03-23	145		https://web.archive.org/web/20160323180915/http://www.starbike.at/service-reparaturen/	2025-07-23	269	https://www.starbike.at/service-reparaturen/	48.2269664	16.3926742
Fahrradwerkstatt Flickschuh	Hetzendorfer Straße 81, 1120 Wien	https://flickschuh.wien/			No prices online	2020-08-12			https://web.archive.org/web/20200812182049/https://flickschuh.wien/	2025-07-23		https://flickschuh.wien/#service	48.167153	16.3083234
SG Velo	Gorskistraße 14/K6-7, 1230 Wien	https://www.sgvelo.at/			Yes	2022-05-28	165		https://web.archive.org/web/20220528012722/https://www.sgvelo.at/dienstleistungen/vintage-service-pakete/	2025-07-23	250	https://www.sgvelo.at/dienstleistungen/vintage-service-pakete/	48.1418708	16.3543739
Veloversum	Stumpergasse 40	https://www.veloversum.com/			Yes	2025-07-23	49	49	https://www.veloversum.com/service	2025-07-23	49	https://www.veloversum.com/service	48.1941665	16.3443603
Das Rad	Oberlaaer Straße 209	https://www.dasrad.at/			No prices online	2020-09-18			https://web.archive.org/web/20200918080857/https://www.dasrad.at/				48.142177	16.3852516
